Address,Lattitude,Longitude,Glass,Cans,Plastic,Paper,"Textiles (clothes, shoes, rags etc.)","Media (books, CDs, DVDs)",Small Electricals
Atkyns Road Shops  Atkyns Road  Wood Farm  OX3 8RA,51.74941806297868,-1.2012863159179688,Yes,Yes,No,Yes,Yes,No,Yes
Cambridge Terrace  Albion Place  OX1 1RR,51.74893981894638,-1.258406639099121,Yes,No,No,Yes,Yes,No,Yes
Cardigan Street  Jericho  OX2 6BW,51.75947329954916,-1.2664747238159177,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Council Depot Marsh Road  Cowley  OX4 2HH,51.738576621502276,-1.217808723449707,No,No,No,No,Yes,No,Yes
Crescent Road  Oxford  OX4 2NS,51.737156811207356,-1.2088898421643535,Yes,Yes,No,Yes,Yes,Yes,No
Ferry Hinksey Road  OX2 0BY,51.75057379848557,-1.2767958641052246,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ferry Leisure Centre  Ferry Pool Road OX2 7DP,51.77611198829501,-1.2618184089660645,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Friars Wharf  Trinity Street  OX1 1RU,51.74725263983693,-1.260831356048584,Yes,Yes,No,Yes,Yes,Yes,Yes
Hawksmoor Road  Jackson Road  OX2 7UF,51.78791337231383,-1.2659811973571777,Yes,Yes,No,Yes,Yes,Yes,Yes
Hockmore Tower  Pound Way  OX4 3YG,51.73119471548863,-1.2161672115325926,Yes,Yes,No,Yes,Yes,No,Yes
Long Ford Close  Whitehouse Road  OX1 4NH,51.74492768348812,-1.26167893409729,Yes,Yes,No,Yes,Yes,Yes,No
Mill Road  Wolvercote  OX2 8PQ,51.7815749924252,-1.295088529586792,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Waitrose Car Park  Old High Street  Headington  OX3 9JT,51.76096080625332,-1.2110066413879395,Yes,Yes,Yes,Yes,Yes,Yes,Yes
James Wolfe Road  Oxford  OX4 2WA,51.741228099377025,-1.2036724093195517,Yes,Yes,No,Yes,Yes,No,No
Pear Tree Park and Ride  OX2 8JD,51.793341768688585,-1.282052993774414,Yes,Yes,No,Yes,Yes,Yes,Yes
Redbridge Park and Ride  OX1 4XG,51.73086911311285,-1.249415874481201,Yes,Yes,No,Yes,Yes,Yes,No
Heyford Hill Roundabout  OX4 4XR,51.721345,-1.2334909999999581,Yes,Yes,Yes,Yes,Yes,No,No
Botley Road  OX2 0HP,51.75457544690196,-1.2893121013274822,Yes,Yes,No,Yes,No,No,No
Bartleman's Close  OX4 2BG,51.746481,-1.2239590000000362,Yes,Yes,No,Yes,No,No,No
St Clement's Street  OX4 1AR,51.750662,-1.242832,No,No,No,No,No,Yes,No
St Nicholas Road  OX4 4PP,51.720682,-1.2203389999999672,No,No,No,No,Yes,Yes,No
Townsend Square  Donnington Bridge Road  OX4 4BB,51.737035224982506,-1.235532760620117,No,No,No,No,Yes,No,No
Underhill Circus  Barton  OX3 9LS,51.767667259114546,-1.1960077285766602,Yes,Yes,No,Yes,Yes,Yes,Yes
Tesco Car Park  Union Street  OX4 1UT,51.74781559341519,-1.2350673973560333,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Roosevelt Drive  Oxford  OX3 7XA,51.75182975783368,-1.2198274306884969,Yes,Yes,No,Yes,Yes,No,Yes
Westlands Drive  Northway  OX3 9RA,51.76943334729612,-1.223151683807373,Yes,Yes,No,Yes,Yes,Yes,Yes
